ads_id,prop_name,completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,Barbeque area,Club house,Gymnasium,Jogging Track,Lift,Minimart,Multipurpose hall,Parking,Playground,Sauna,Security,Squash Court,Swimming Pool,Tennis Court,Air-Cond,Cooking Allowed,Internet,Near KTM/LRT,Washing Machine
100202252,Residensi Vista Wirajaya,2017,1800,Setapak,Apartment,3,1,2,885,Fully Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100136931,Bayu Sentul Condominium,2015,1900,Sentul,Condominium,3,2,2,1300,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100234716,Flexus Signature Suites,2017,1500,Jalan Kuching,Studio,1,1,1,530,Fully Furnished,Kuala Lumpur,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
100322047,Menjalara 18,2017,2400,Bandar Menjalara,Condominium,3,1,2,1316,Fully Furnished,Kuala Lumpur,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes
99876261,Greenpark,1999,1400,Old Klang Road,Condominium,3,1,2,1270,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
100322029,Majestic Maxim,2021,1800,Cheras,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
100322005,Baiduri Apartment (Desa Pandan),2017,1500,Desa Pandan,Apartment,3,1,2,950,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
100321936,Sri Putramas,2004,1600,Jalan Kuching,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
100321976,Putra Villa,2007,1800,Setapak,Condominium,3,1,2,1066,Fully Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
99627362,38 Bidara,2017,2100,KLCC,Condominium,2,1,2,706,Fully Furnished,Kuala Lumpur,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
99492392,3 Towers,2015,2500,Ampang Hilir,Condominium,2,1,1,890,Fully Furnished,Kuala Lumpur,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
100036659,One Maxim,2020,1300,Sentul,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
99528357,Casa Mutiara,2007,2000,Bukit Bintang,Service Residence,2,1,2,742,Fully Furnished,Kuala Lumpur,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
100321885,Sofiya Residences,2017,2000,Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes
100273689,Laman Tasik,2002,2100,Cheras,Condominium,4,1,3,1300,Fully Furnished,Kuala Lumpur,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
100033999,Residensi Seri Wahyu @ Jalan Kuching KL,2017,1300,KL City,Apartment,3,1,2,805,Partially Furnished,Kuala Lumpur,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
100033960,The Hamilton,2020,2600,Wangsa Maju,Condominium,4,2,2,1000,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
99844667,3 Towers,2015,2000,Ampang Hilir,Service Residence,1,1,1,440,Fully Furnished,Kuala Lumpur,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
100321800,The Havre @ Bukit Jalil,2020,2500,Bukit Jalil,Condominium,3,2,2,1028,Fully Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
100290798,M3 Residency,2017,1600,Setapak,Condominium,3,1,2,950,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100321689,Majestic Maxim,2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100321678,D'Puncak Suasana,2017,1000,KLCC,Apartment,3,2,2,1000,Partially Furnished,Kuala Lumpur,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
100321609,Kaleidoscope,2017,2700,Setiawangsa,Condominium,3,1,2,1115,Partially Furnished,Kuala Lumpur,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
100321665,KL Traders Square Residences,2019,1400,Gombak,Service Residence,3,1,2,850,Not Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
100321664,Prisma Cheras,2017,1500,Cheras,Condominium,2,1,1,717,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
100321580,Seasons Garden Residences @ Wangsa Maju,2017,1350,Wangsa Maju,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100321251,Maxim Citilights,2017,1300,Sentul,Service Residence,3,1,2,1150,Not Furnished,Kuala Lumpur,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
99435019,PPA1M Bukit Jalil,2017,1300,Bukit Jalil,Apartment,3,1,2,1000,Not Furnished,Kuala Lumpur,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
100235971,Taman Connaught,2017,900,Cheras,Apartment,2,1,1,550,Partially Furnished,Kuala Lumpur,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
100235642,Midah Ria,2017,1300,Cheras,Condominium,3,1,2,967,Partially Furnished,Kuala Lumpur,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
99774637,Sri Kenangan,2017,2500,Wangsa Maju,Condominium,4,1,2,1184,Partially Furnished,Kuala Lumpur,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
100321040,Faber Ria,1985,1300,Taman Desa,Condominium,2,1,2,1050,Partially Furnished,Kuala Lumpur,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
23139697,Villa Wangsamas,2010,1700,Wangsa Maju,Condominium,3,1,3,1267,Partially Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
16717632,Villa Wangsamas,2010,2000,Wangsa Maju,Condominium,3,1,3,1267,Fully Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
99364321,The Capers,2017,2100,Sentul,Service Residence,2,1,2,999,Partially Furnished,Kuala Lumpur,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100321008,Central Residence @ Sg Besi,2015,1750,Sungai Besi,Condominium,3,2,2,1121,Fully Furnished,Kuala Lumpur,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
100320875,Unio Residence,2021,2000,Kepong,Apartment,2,1,2,872,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
100320904,Dahlia Apartment (Ampang),2017,1300,Ampang,Apartment,3,1,2,860,Not Furnished,Kuala Lumpur,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
100320954,1 Petaling,2012,1100,Sungai Besi,Condominium,3,1,2,904,Partially Furnished,Kuala Lumpur,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100320945,Residensi Seri Wahyu @ Jalan Kuching KL,2017,1300,KL City,Apartment,3,1,2,835,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
100320933,Pangsapuri Seroja,2017,850,Jinjang,Apartment,3,1,2,750,Partially Furnished,Kuala Lumpur,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
98990742,Endah Villa,2017,1400,Sri Petaling,Condominium,3,1,2,1129,Fully Furnished,Kuala Lumpur,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
100320836,Unio Residence,2021,1900,Kepong,Service Residence,2,1,2,1132,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No
100140155,Rica Residence Sentul,2021,1700,Sentul,Condominium,2,1,1,700,Partially Furnished,Kuala Lumpur,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
100320688,PV9 Residences @ Taman Melati,2022,2100,Setapak,Service Residence,3,2,2,1000,Partially Furnished,Kuala Lumpur,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100320795,Suasana Lumayan,2015,1550,Cheras,Condominium,4,1,2,1142,Partially Furnished,Kuala Lumpur,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
100320796,Plaza Prima Setapak,2006,1400,Setapak,Condominium,4,2,2,1300,Partially Furnished,Kuala Lumpur,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes
100320727,Residensi Vista Wirajaya,2017,1800,Setapak,Apartment,3,1,2,884,Fully Furnished,Kuala Lumpur,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
100320547,One Maxim,2020,1300,Sentul,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No
100320546,M Centura,2021,2500,Sentul,Service Residence,3,1,2,850,Fully Furnished,Kuala Lumpur,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
100320543,PV9 Residences @ Taman Melati,2022,2300,Setapak,Service Residence,3,2,2,1000,Partially Furnished,Kuala Lumpur,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
100320529,Majestic Maxim,2021,1350,Cheras,Service Residence,2,1,1,650,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
100320520,Residensi KepongMas,2020,1100,Kepong,Apartment,3,2,2,800,Partially Furnished,Kuala Lumpur,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100320656,Bayu Sentul Condominium,2015,1700,Sentul,Condominium,3,2,2,1300,Partially Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
100170082,Vista Angkasa,2017,1800,Bangsar South,Apartment,3,1,2,1200,Partially Furnished,Kuala Lumpur,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
100234537,The Nest Residence @ Genting Klang,2017,1600,Setapak,Service Residence,3,1,2,770,Fully Furnished,Kuala Lumpur,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
100320486,Sky Awani 3 Residence Setpak,2017,1600,Setapak,Service Residence,3,2,2,800,Fully Furnished,Kuala Lumpur,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100320507,M Centura,2021,1650,Sentul,Service Residence,3,2,2,850,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No
100320503,M Centura,2021,1200,Sentul,Service Residence,2,1,1,646,Not Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
100320593,OG Heights,1988,1200,Pantai,Condominium,2,1,2,1000,Partially Furnished,Kuala Lumpur,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
99174282,Delima J Apartment,2017,1400,Desa Pandan,Apartment,3,1,2,1000,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No
100320340,Lexa Residence @ The Quartz WM,2017,2600,Wangsa Maju,Service Residence,4,1,2,877,Fully Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100255260,The Nest Residence @ Genting Klang,2017,900,Setapak,Service Residence,1,1,1,360,Fully Furnished,Kuala Lumpur,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
100279958,Hedgeford 10 Residences @ Wangsa Maju,2015,1200,Wangsa Maju,Service Residence,1,1,1,521,Partially Furnished,Kuala Lumpur,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
100256144,The Establishment,2018,2500,Brickfields,Service Residence,1,1,1,468,Fully Furnished,Kuala Lumpur,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
100320298,The Henge Kepong,2019,2200,Kepong,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
100320294,Sofiya Residences,2017,2300,Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
100262241,Suasana Lumayan,2015,1500,Cheras,Condominium,4,1,2,1142,Partially Furnished,Kuala Lumpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
100320327,Vista Komanwel A,2017,1600,Bukit Jalil,Condominium,3,2,2,1224,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
100320315,Apartment Sentul,2017,700,Sentul,Apartment,3,1,1,700,Not Furnished,Kuala Lumpur,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
99879586,Lakeville Residence,2017,1900,Jalan Ipoh,Condominium,3,2,2,1193,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
100320270,Arte Plus Jalan Ampang,2018,2100,Ampang,Service Residence,3,2,2,1200,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
100157790,Vista Langkawi @ PV18,2017,1399,Setapak,Service Residence,3,1,2,926,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
100319605,Residensi Alam Damai (PR1MA @ Alam Damai),2017,1300,Cheras,Apartment,3,1,3,935,Not Furnished,Kuala Lumpur,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No
99764987,Platinum OUG Residence,2021,1450,Kuchai Lama,Condominium,3,1,2,1100,Partially Furnished,Kuala Lumpur,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
99753372,Residensi Pandanmas 1,2017,1500,Desa Pandan,Apartment,3,1,2,900,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100319562,Flat Taman Melati,2017,1000,Setapak,Flat,3,1,2,650,Not Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No
100103263,First Residence,2012,1600,Kepong,Condominium,3,1,2,1070,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
100234677,M Centura,2021,2200,Sentul,Service Residence,3,1,2,850,Fully Furnished,Kuala Lumpur,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100319477,Regalia Residence,2012,2000,Jalan Sultan Ismail,Service Residence,1,1,1,560,Fully Furnished,Kuala Lumpur,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
100319453,38 Bidara,2017,1900,KLCC,Condominium,2,1,2,705,Fully Furnished,Kuala Lumpur,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
100319350,Unio Residence,2021,2200,Kepong,Apartment,2,1,2,866,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
100319174,Mercu Summer Suites @ Kuala Lumpur,2015,2000,KL City,Service Residence,1,1,1,600,Fully Furnished,Kuala Lumpur,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes
100319242,Vista Saujana,2017,1000,Kepong,Apartment,3,1,2,955,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
96409547,Teratai Mewah Apartment,2017,850,Setapak,Apartment,3,1,1,650,Not Furnished,Kuala Lumpur,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No
100319208,Bangsar Permai,1998,2500,Bangsar,Condominium,3,1,2,1000,Fully Furnished,Kuala Lumpur,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
99884824,Bayu Tasik 2,1998,1500,Cheras,Condominium,3,1,2,1000,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
99263112,Platinum Oug Residence,2017,1650,Bukit Jalil,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
100318968,M Centura,2021,2500,Sentul,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes
100032198,Casa Idaman,2010,1500,Jalan Ipoh,Condominium,3,2,2,1062,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
99994730,Flat Taman Bukit Angkasa,2017,1200,Bangsar South,Flat,3,1,2,700,Partially Furnished,Kuala Lumpur,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
99424623,Platinum Lake PV 21,2017,1500,Setapak,Service Residence,3,1,2,1040,Partially Furnished,Kuala Lumpur,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
95987225,Platinum Lake PV 20,2017,1500,Setapak,Condominium,4,2,2,1333,Partially Furnished,Kuala Lumpur,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes
98048623,M Vertica,2023,1800,Cheras,Condominium,3,1,2,850,Partially Furnished,Kuala Lumpur,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
